Brand,Model,Website,Price,Fuel Consumption (City),Fuel Consumption (Highway),Segment
Toyota,Corolla,https://www.toyota.com,20000,30,40,Compact
Toyota,Camry,https://www.toyota.com,25000,25,35,Midsize
Toyota,RAV4,https://www.toyota.com,27000,28,38,Compact SUV
Toyota,Yaris,https://www.toyota.com,16000,32,40,Subcompact
Toyota,Avalon,https://www.toyota.com,35000,22,31,Fullsize
Toyota,Highlander,https://www.toyota.com,36000,20,28,Midsize SUV
Toyota,4Runner,https://www.toyota.com,38000,16,19,Midsize SUV
Toyota,Supra,https://www.toyota.com,50000,24,31,Sports
BMW,3 Series,https://www.bmw.com,41000,24,34,Compact
BMW,5 Series,https://www.bmw.com,53000,20,30,Midsize
BMW,7 Series,https://www.bmw.com,86000,18,25,Fullsize
BMW,X5,https://www.bmw.com,60000,20,27,SUV
BMW,X3,https://www.bmw.com,45000,22,29,SUV
BMW,X1,https://www.bmw.com,35000,23,31,Compact SUV
BMW,i3,https://www.bmw.com,45000,124,0,Electric
BMW,Z4,https://www.bmw.com,64000,25,32,Convertible
Volvo,XC90,https://www.volvocars.com,50000,21,29,SUV
Volvo,S60,https://www.volvocars.com,38000,23,34,Sedan
Volvo,V90,https://www.volvocars.com,55000,20,30,Wagon
Volvo,XC60,https://www.volvocars.com,42000,22,29,SUV
Volvo,XC40,https://www.volvocars.com,36000,23,33,Compact SUV
Volvo,S90,https://www.volvocars.com,52000,21,31,Sedan
Tesla,Model S,https://www.tesla.com,79999,115,120,Sedan
Tesla,Model 3,https://www.tesla.com,39999,130,135,Sedan
Tesla,Model X,https://www.tesla.com,89999,105,110,SUV
Tesla,Model Y,https://www.tesla.com,49999,125,130,SUV
Tesla,Model S Plaid,https://www.tesla.com,129990,102,108,Sedan
Tesla,Cybertruck,https://www.tesla.com,39990,100,100,Truck
Kia,Sorento,https://www.kia.com,29000,22,29,SUV
Kia,Optima,https://www.kia.com,23000,24,32,Sedan
Kia,Sportage,https://www.kia.com,25000,23,30,SUV
Kia,Rio,https://www.kia.com,16000,29,37,Subcompact
Kia,Stinger,https://www.kia.com,35000,22,29,Sports
Kia,Seltos,https://www.kia.com,22000,27,31,Compact SUV
Kia,Telluride,https://www.kia.com,32000,20,26,SUV
Fiat,500,https://www.fiat.com,16000,28,33,Compact
Fiat,Panda,https://www.fiat.com,14000,27,35,Compact
Fiat,Tipo,https://www.fiat.com,20000,25,33,Sedan
Fiat,124 Spider,https://www.fiat.com,28000,26,35,Convertible
Fiat,500X,https://www.fiat.com,22000,24,31,Compact SUV
Fiat,Doblo,https://www.fiat.com,21000,20,30,MPV
Volkswagen,Golf,https://www.volkswagen.com,23000,29,37,Compact
Volkswagen,Passat,https://www.volkswagen.com,28000,23,34,Midsize
Volkswagen,Tiguan,https://www.volkswagen.com,25000,22,29,SUV
Volkswagen,Jetta,https://www.volkswagen.com,20000,30,40,Compact
Volkswagen,Atlas,https://www.volkswagen.com,33000,21,26,Midsize SUV
Volkswagen,Beetle,https://www.volkswagen.com,21000,26,33,Compact
Volkswagen,Arteon,https://www.volkswagen.com,36000,22,31,Midsize
Opel,Astra,https://www.opel.com,22000,26,35,Compact
Opel,Insignia,https://www.opel.com,34000,22,32,Midsize
Opel,Corsa,https://www.opel.com,18000,29,37,Subcompact
Opel,Mokka,https://www.opel.com,25000,24,32,SUV
Opel,Zafira,https://www.opel.com,27000,24,33,MPV
Opel,Grandland X,https://www.opel.com,28000,23,31,SUV
Opel,Crossland X,https://www.opel.com,24000,25,33,Compact SUV
Hyundai,Elantra,https://www.hyundai.com,20000,30,40,Compact
Hyundai,Santa Fe,https://www.hyundai.com,28000,22,29,SUV
Hyundai,Tucson,https://www.hyundai.com,26000,23,30,SUV
Hyundai,Sonata,https://www.hyundai.com,24000,27,37,Sedan
Hyundai,Veloster,https://www.hyundai.com,28000,25,33,Compact
Hyundai,Kona,https://www.hyundai.com,21000,28,32,Compact SUV
Hyundai,Palisade,https://www.hyundai.com,32000,19,24,Midsize SUV
Renault,Clio,https://www.renault.com,18000,28,36,Compact
Renault,Megane,https://www.renault.com,22000,25,34,Compact
Renault,Kadjar,https://www.renault.com,25000,24,32,SUV
Renault,Scenic,https://www.renault.com,23000,26,33,MPV
Renault,Koleos,https://www.renault.com,30000,23,30,SUV
Renault,Talisman,https://www.renault.com,35000,22,31,Midsize
Renault,Captur,https://www.renault.com,22000,26,34,Compact SUV
Dacia,Duster,https://www.dacia.com,15000,27,33,SUV
Dacia,Sandero,https://www.dacia.com,12000,29,37,Compact
Dacia,Logan,https://www.dacia.com,14000,28,36,Sedan
Dacia,Lodgy,https://www.dacia.com,16000,25,33,MPV
Dacia,Dokker,https://www.dacia.com,15000,24,32,Van
Dacia,Spring,https://www.dacia.com,18000,0,140,Electric
Honda,Civic,https://www.honda.com,22000,32,42,Compact
Honda,Accord,https://www.honda.com,28000,30,38,Midsize
Honda,CR-V,https://www.honda.com,30000,28,34,Compact SUV
Honda,Fit,https://www.honda.com,17000,33,40,Subcompact
Honda,Pilot,https://www.honda.com,38000,20,27,Fullsize SUV
Ford,F-150,https://www.ford.com,30000,20,26,Pickup
Ford,Mustang,https://www.ford.com,27000,21,31,Sports
Ford,Escape,https://www.ford.com,25000,23,30,Compact SUV
Ford,Explorer,https://www.ford.com,32000,18,25,Midsize SUV
Ford,Fusion,https://www.ford.com,24000,22,34,Midsize
Audi,A4,https://www.audi.com,40000,24,34,Midsize
Audi,Q5,https://www.audi.com,50000,22,28,Compact SUV
Audi,A6,https://www.audi.com,60000,23,32,Fullsize
Audi,Q7,https://www.audi.com,70000,20,25,Fullsize SUV
Mercedes,C-Class,https://www.mercedes.com,42000,23,33,Midsize
Mercedes,E-Class,https://www.mercedes.com,55000,21,30,Fullsize
Mercedes,GLA,https://www.mercedes.com,37000,25,35,Compact SUV
Mercedes,GLE,https://www.mercedes.com,68000,19,26,Fullsize SUV
Citroen,C3,https://www.citroen.com,21000,29,38,Subcompact
Citroen,C4,https://www.citroen.com,25000,27,36,Compact
Citroen,C5 Aircross,https://www.citroen.com,35000,24,32,Compact SUV
Citroen,C5 X,https://www.citroen.com,40000,23,31,Midsize
Chevrolet,Spark,https://www.chevrolet.com,14000,31,41,Subcompact
Chevrolet,Malibu,https://www.chevrolet.com,25000,29,36,Midsize
Chevrolet,Equinox,https://www.chevrolet.com,28000,26,31,Compact SUV
Chevrolet,Tahoe,https://www.chevrolet.com,50000,15,22,Fullsize SUV
Land Rover,Defender,https://www.landrover.com,60000,18,23,Fullsize SUV
Land Rover,Discovery,https://www.landrover.com,55000,19,24,Fullsize SUV
Land Rover,Range Rover,https://www.landrover.com,90000,14,20,Luxury SUV
Jeep,Wrangler,https://www.jeep.com,40000,17,25,Off-Road SUV
Jeep,Cherokee,https://www.jeep.com,35000,21,29,Compact SUV
Jeep,Grand Cherokee,https://www.jeep.com,45000,18,25,Midsize SUV
Jeep,Compass,https://www.jeep.com,30000,22,30,Compact SUV
Seat,Ibiza,https://www.seat.com,20000,30,40,Subcompact
Seat,Leon,https://www.seat.com,24000,28,37,Compact
Seat,Ateca,https://www.seat.com,27000,25,33,Compact SUV
Seat,Tarraco,https://www.seat.com,35000,22,29,Midsize SUV
Skoda,Fabia,https://www.skoda.com.tr,19000,31,41,Subcompact
Skoda,Octavia,https://www.skoda.com.tr,26000,29,37,Compact
Skoda,Karoq,https://www.skoda.com.tr,30000,26,34,Compact SUV
Skoda,Kodiaq,https://www.skoda.com.tr,37000,23,30,Midsize SUV
Toyota,Highlander,https://www.toyota.com,35000,20,27,Midsize SUV
Toyota,Tacoma,https://www.toyota.com,32000,18,22,Pickup
Honda,Odyssey,https://www.honda.com,35000,19,28,Minivan
Honda,Passport,https://www.honda.com,33000,20,25,Midsize SUV
Ford,Bronco,https://www.ford.com,40000,17,24,Off-Road SUV
Ford,Maverick,https://www.ford.com,20000,23,30,Compact Pickup
Ford,Edge,https://www.ford.com,32000,21,29,Midsize SUV
Ford,Ranger,https://www.ford.com,25000,19,24,Compact Pickup
Ford,Escape Hybrid,https://www.ford.com,28000,40,37,Compact SUV
Ford,Expedition,https://www.ford.com,50000,17,23,Fullsize SUV
Ford,EcoSport,https://www.ford.com,21000,27,29,Subcompact SUV
Ford,Taurus,https://www.ford.com,27000,20,30,Fullsize
Ford,Transit,https://www.ford.com,35000,15,19,Van
Ford,Mustang Mach-E,https://www.ford.com,45000,96,84,Electric SUV
Toyota,Sequoia,https://www.toyota.com,50000,13,17,Fullsize SUV
Toyota,Sienna,https://www.toyota.com,35000,19,26,Minivan
Honda,Ridgeline,https://www.honda.com,35000,18,24,Pickup
Honda,HR-V,https://www.honda.com,25000,28,34,Subcompact SUV
Chevrolet,Blazer,https://www.chevrolet.com,34000,22,29,Midsize SUV
Chevrolet,Trailblazer,https://www.chevrolet.com,22000,29,33,Subcompact SUV
Audi,A3,https://www.audi.com,35000,27,36,Compact
Audi,Q3,https://www.audi.com,40000,22,30,Subcompact SUV
Mercedes,A-Class,https://www.mercedes.com,35000,24,35,Subcompact
Mercedes,GLC,https://www.mercedes.com,45000,22,28,Compact SUV
Citroen,C1,https://www.citroen.com,15000,35,45,Mini
Citroen,Berlingo,https://www.citroen.com,26000,27,32,Van
Land Rover,Range Rover Sport,https://www.landrover.com,80000,16,21,Luxury SUV
Jeep,Renegade,https://www.jeep.com,24000,24,32,Subcompact SUV
Seat,Mii,https://www.seat.com,16000,32,44,Mini
Skoda,Superb,https://www.skoda.com.tr,32000,26,38,Midsize
